"diffusion_input","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","5.441828023392088E-4","15698","SEMA3D","false","SEMA3D"
"0.0","2.805246449604481E-4","17012","SCN2A","false","SCN2A"
"0.0","2.746135969500085E-4","17043","PLCL1","false","PLCL1"
"0.0","2.0458443275961016E-4","17517","GPR171","false","GPR171"
"0.0","1.686208529652874E-4","17814","NEXN-AS1","false","NEXN-AS1"
"0.0","2.250483613857306E-4","17376","NBR2","false","NBR2"
"0.0","1.0504136325120487E-5","19539","LINC00471","false","LINC00471"
"0.0","1.686208529652874E-4","17813","SMKR1","false","SMKR1"
"0.0","6.599944296439272E-5","19269","ARIH2OS","false","ARIH2OS"
"0.0","1.3237821861256666E-4","18596","PMS2CL","false","PMS2CL"
"0.0","4.717524998835282E-4","16027","ADGB","false","ADGB"
"0.0","1.4366016871416638E-4","18379","GGTA1P","false","GGTA1P"
"0.0","2.2718821116236705E-4","17367","ENO4","false","ENO4"
"0.0","9.552473831036073E-5","19046","CEBPZOS","false","CEBPZOS"
"0.0","8.609919523422625E-5","19156","ZNF736","false","ZNF736"
"0.0","0.00617038719191917","8234","IQCF5","false","IQCF5"
"0.0","8.401336733050576E-5","19164","MGAT4D","false","MGAT4D"
"0.0","4.2594650111588963E-4","16226","C2orf78","false","C2orf78"
"0.0","1.0716384739239085E-4","18910","EFCAB5","false","EFCAB5"
"0.0","1.4190675908690685E-4","18394","ISPD","false","ISPD"
"0.0","0.0015332258694903014","13008","FER1L5","false","FER1L5"
"0.0","7.06478940992455E-5","19248","UQCRHL","false","UQCRHL"
"0.0","2.5307303773766947E-4","17207","SLC7A4","false","SLC7A4"
"0.0","2.5307303773766947E-4","17206","RPRML","false","RPRML"
"0.0","3.385643310572496E-5","19444","C1QL2","false","C1QL2"
"0.0","6.381947996787264E-4","15353","C1QL3","false","C1QL3"
"0.0","3.1025717569075104E-4","16813","DDX12P","false","DDX12P"
"0.0","1.1791021627912074E-4","18832","TMEM14D","false","TMEM14D"
"0.0","2.4776634788516464E-4","17245","NDUFC2-KCTD14","false","NDUFC2-KCTD14"
"0.0","1.8068460100371662E-4","17674","DEFB126","false","DEFB126"
"0.0","0.019965982074429737","1031","DEFB109P1B","true","DEFB109P1B"
"0.0","1.5776058169618575E-4","17927","A3GALT2","false","A3GALT2"
"0.0","0.0011205724864312534","13943","PAQR9","false","PAQR9"
"0.0","1.1386414492128848E-4","18870","GJA10","false","GJA10"
"0.0","0.001258959258946436","13613","PCAT1","false","PCAT1"
"0.0","1.4729241101292697E-4","18342","KRT19P3","false","KRT19P3"
"0.0","4.706014879238362E-5","19368","ZDHHC11B","false","ZDHHC11B"
"0.0","3.078323898993057E-4","16827","MIR100HG","false","MIR100HG"
"0.0","4.4121646593985584E-4","16155","HOTAIRM1","false","HOTAIRM1"
"0.0","0.0014278877464101402","13225","IGLC6","false","IGLC6"
"0.0","0.01880116755208815","1269","LOC100505817","true","LOC100505817"
"0.0","5.91095939844423E-4","15515","IL13","false","IL13"
"0.0","7.65461760758034E-5","19214","LOC102723729","false","LOC102723729"
"0.0","1.2945215956677232E-4","18627","ADAMTS9-AS2","false","ADAMTS9-AS2"
"0.0","1.5254837099749933E-5","19514","MIR100","false","MIR100"
"0.0","0.004817699845346468","9282","MIR429","false","MIR429"
"0.0","0.005597946235451626","8693","MIR214","false","MIR214"
"0.0","0.005169132494616208","9006","MIR206","false","MIR206"
"0.0","0.005367200398793619","8857","MIR205","false","MIR205"
"0.0","0.005269305149414101","8938","MIR200C","false","MIR200C"
"0.0","0.005208746195308852","8987","MIR200B","false","MIR200B"
"0.0","0.00491644699984592","9201","MIR200A","false","MIR200A"
"0.0","0.004832705370796012","9270","MIR199A2","false","MIR199A2"
"0.0","0.005257181715631733","8946","MIR199A1","false","MIR199A1"
"0.0","0.00531829328545409","8900","MIR155","false","MIR155"
"0.0","0.004932351265975911","9187","MIR145","false","MIR145"
"0.0","0.00509738826275484","9055","MIR143","false","MIR143"
"0.0","0.00517523995840565","9004","MIR141","false","MIR141"
"0.0","0.004635538848593683","9433","MIR140","false","MIR140"
"0.0","0.005217027405901848","8976","MIR138-2","false","MIR138-2"
"0.0","0.004614436329543656","9452","MIR138-1","false","MIR138-1"
"0.0","0.005529160427387476","8745","MIR128-2","false","MIR128-2"
"0.0","0.005279819167138318","8923","MIR128-1","false","MIR128-1"
"0.0","0.004860074938806444","9240","MIR122","false","MIR122"
"0.0","0.005600778440131936","8691","MIR106B","false","MIR106B"
"0.0","0.00517452630279491","9005","MIR106A","false","MIR106A"
"0.0","0.005210880492636098","8984","MIR92A2","false","MIR92A2"
"0.0","0.005242948311513029","8959","MIR92A1","false","MIR92A1"
"0.0","0.005031521426651524","9104","MIR34C","false","MIR34C"
"0.0","0.0058749093481830945","8487","MIR34B","false","MIR34B"
"0.0","0.005835583788835346","8515","MIR34A","false","MIR34A"
"0.0","0.005217906943598274","8975","MIR31","false","MIR31"
"0.0","0.004656916512218974","9410","MIR29B2","false","MIR29B2"
"0.0","0.004661125882606769","9406","MIR29B1","false","MIR29B1"
"0.0","0.005562455839157212","8721","MIR25","false","MIR25"
"0.0","0.005277689238323626","8931","MIR20B","false","MIR20B"
"0.0","0.004705690307335374","9369","MIR20A","false","MIR20A"
"0.0","0.005417241527782459","8821","MIR19B2","false","MIR19B2"
"0.0","0.005639438474554964","8663","MIR19B1","false","MIR19B1"
"0.0","0.005332569916723787","8884","MIR18B","false","MIR18B"
"0.0","0.004924426535898005","9195","MIR18A","false","MIR18A"
"0.0","0.005181781508705204","8999","MIR17","false","MIR17"
"0.0","0.005632768558374195","8669","MIR15B","false","MIR15B"
"0.0","0.005152102542569183","9023","MIR10B","false","MIR10B"
"0.0","0.004661901914588417","9405","MIR9-3","false","MIR9-3"
"0.0","0.0047387780958275325","9345","MIR9-2","false","MIR9-2"
"0.0","0.005081812128285502","9065","MIR9-1","false","MIR9-1"
