#rank	name	diffusion_output_heat
0	KTI12	0.012282198238729582
1	MAP2K4	0.00761126646420888
2	TNFAIP8L1	0.005555268233717349
3	CYLC2	0.005427491891379121
4	MAP3K8	0.004390518912032185
5	FBP2	0.003574010325371949
6	MAP3K10	0.003214825050752872
7	ALDOB	0.0021691145593946064
8	MAP3K11	0.0014143909748346836
9	BLNK	0.0013379299400804608
